Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,NAM,COG,6310,1398.64,3.134,Original,0.002240748
2024,SGP,NLD,6309,6705550.0,18615.012,Original,0.00277606
2024,SVK,HUN,6310,903160.0,980.637,Original,0.001085784
2024,SVN,THA,6310,1517270.0,4966.704,Original,0.003273448
2024,AGO,PRT,6310,243.0,2.15,Original,0.008847737
2024,DNK,ESP,6309,32480.0,471.101,Original,0.014504341
2024,GRC,PAK,6310,110760.0,1199.278,Original,0.010827718
2024,ITA,EGY,6310,106900.0,1189.338,Original,0.011125706
2024,KGZ,RUS,6310,80000.0,447.0,Original,0.0055875
2024,LUX,DEU,6310,459903.22,6508.787,Original,0.014152515
2024,PER,KOR,6310,0.087,0.001,Original,0.011494253
2024,UKR,LVA,6310,2208.65,23.87,Original,0.010807507
2024,GMB,SEN,6309,23000.0,371.457,Original,0.016150304
2024,LVA,IRQ,6309,22000.0,523.938,Original,0.023815364
2024,MAR,BEN,6310,10.0,0.201,Original,0.0201
2024,ROU,UKR,6310,21088.0,459.46,Original,0.021787747
2024,SGP,GBR,6309,7319510.0,154416.893,Original,0.021096616
2024,ESP,MYS,6309,260440.0,3929.961,Original,0.015089698
2024,ESP,NOR,6310,7648.5,145.047,Original,0.018964111
2024,AGO,NAM,6310,34206.1,926.46,Original,0.027084643
2024,BEL,LTU,6310,27025.5,877.886,Original,0.032483617
2024,CHN,TUN,6309,72714.0,2088.0,Original,0.028715241
2024,KGZ,KAZ,6310,1153050.0,38584.0,Original,0.033462556
2024,ROU,SVK,6309,67938.0,2189.64,Original,0.032229974
2024,AUT,SRB,6309,2565.0,107.156,Original,0.041776218
2024,BRA,BOL,6309,105.0,4.0,Original,0.038095238
2024,AGO,ARE,6310,167.0,6.56,Original,0.039281437
2024,NAM,MOZ,6310,502.75,19.284,Original,0.038357036
2024,SWE,UKR,6310,69000.0,2744.227,Original,0.039771406
2024,AGO,USA,6310,4005.0,186.0,Original,0.046441948
2024,CHN,QAT,6309,8612.0,463.0,Original,0.053762192
2024,HND,BRA,6309,935.0,50.0,Original,0.053475936
2024,HND,FRA,6309,8463.0,436.44,Original,0.051570365
2024,HND,GTM,6310,254902.0,12745.1,Original,0.05
2024,IDN,ZAF,6309,466.78,22.5,Original,0.048202579
2024,NOR,ALB,6309,24156.0,1264.025,Original,0.052327579
2024,SWE,CAN,6309,387785.55,18074.049,Original,0.046608361
2024,BEL,IND,6310,8014420.0,510890.039,Original,0.063746352
2024,JPN,AFG,6309,206192.0,12235.219,Original,0.059338961
2024,KAZ,TJK,6309,19707100.0,1133883.68,Original,0.057536811
2024,LVA,PAK,6309,770160.0,44226.612,Original,0.057425226
2024,MYS,SLE,6309,790.0,43.702,Original,0.055318987
2024,HUN,ARE,6310,155136.0,9676.0,Original,0.062371081
2024,ITA,ARE,6310,21626.0,1208.2,Original,0.055867937
2024,SAU,TUR,6309,9000.0,538.667,Original,0.059851889
2024,ROU,ESP,6310,60005.0,3661.8,Original,0.061024915
2024,TZA,SDN,6309,8000.0,464.03,Original,0.05800375
2024,AGO,BGR,6309,1867.0,133.0,Original,0.071237279
2024,AGO,IDN,6310,243.0,16.89,Original,0.069506173
2024,CHL,SLV,6310,71.64,5.0,Original,0.069793412
2024,ECU,PAN,6310,2.8,0.2,Original,0.071428571
2024,ITA,MYS,6310,2189660.0,156980.058,Original,0.071691522
2024,SAU,SOM,6310,69500.0,4533.333,Original,0.065227813
2024,ZAF,SAU,6309,371.07,24.988,Original,0.067340394
2024,BEL,EGY,6310,2880.13,240.299,Original,0.083433387
2024,CZE,IND,6309,43931.0,3444.0,Original,0.078395666
2024,EST,PAK,6309,1217070.0,92640.15,Original,0.076117356
2024,IDN,NLD,6309,3640.37,292.0,Original,0.080211627
2024,ITA,SAU,6309,21150.0,1716.419,Original,0.081154563
2024,JPN,DZA,6309,107800.0,8581.831,Original,0.079608822
2024,JPN,TCD,6309,303849.0,24595.962,Original,0.080947977
2024,JPN,MRT,6309,160769.0,13054.424,Original,0.081199883
2024,KEN,MWI,6309,100.2,7.838,Original,0.078223553
2024,KOR,TON,6309,4825.0,374.0,Original,0.077512953
2024,KOR,TUN,6309,105781.0,8136.0,Original,0.076913623
2024,HUN,CAN,6310,25980.0,2158.0,Original,0.083063895
2024,HUN,HKG,6310,133674.0,10914.0,Original,0.081646393
2024,POL,IND,6309,12589775.0,1036486.0,Original,0.082327603
2024,PRT,IND,6309,1572310.0,127424.744,Original,0.081043016
